"","location","time","execrlc"
"831","BOL",2005,2
"832","BOL",2006,3
"833","BOL",2007,3
"834","BOL",2008,3
"835","BOL",2009,3
"836","BOL",2010,3
"837","BOL",2011,3
"838","BOL",2012,3
"839","BRA",1975,1
"840","BRA",1976,1
"841","BRA",1977,1
"842","BRA",1978,1
"843","BRA",1979,1
"844","BRA",1980,1
"845","BRA",1981,1
"846","BRA",1982,1
"847","BRA",1983,1
"848","BRA",1984,1
"849","BRA",1985,1
"850","BRA",1986,1
"851","BRA",1987,1
"852","BRA",1988,1
"853","BRA",1989,1
"854","BRA",1990,1
"855","BRA",1991,1
"856","BRA",1992,1
"857","BRA",1993,1
"858","BRA",1994,1
"859","BRA",1995,3
"860","BRA",1996,3
"861","BRA",1997,3
"862","BRA",1998,3
"863","BRA",1999,3
"864","BRA",2000,3
"865","BRA",2001,3
"866","BRA",2002,3
"867","BRA",2003,3
"868","BRA",2004,3
"869","BRA",2005,3
"870","BRA",2006,3
"871","BRA",2007,3
"872","BRA",2008,3
"873","BRA",2009,3
"874","BRA",2010,3
"875","BRA",2011,3
"876","BRA",2012,3
"877","BRB",1975,3
"878","BRB",1976,3
"879","BRB",1977,3
"880","BRB",1978,3
"881","BRB",1979,3
"882","BRB",1980,3
"883","BRB",1981,3
"884","BRB",1982,3
"885","BRB",1983,3
"886","BRB",1984,3
"887","BRB",1985,3
"888","BRB",1986,3
"889","BRB",1987,1
"890","BRB",1988,1
"891","BRB",1989,1
"892","BRB",1990,1
"893","BRB",1991,1
"894","BRB",1992,1
"895","BRB",1993,1
"896","BRB",1994,1
"897","BRB",1995,3
"898","BRB",1996,3
"899","BRB",1997,3
"900","BRB",1998,3
"901","BRB",1999,3
"902","BRB",2000,3
"903","BRB",2001,3
"904","BRB",2002,3
"905","BRB",2003,3
"906","BRB",2004,3
"907","BRB",2005,3
"908","BRB",2006,3
"909","BRB",2007,3
"910","BRB",2008,3
"911","BRB",2009,1
"912","BRB",2010,1
"913","BRB",2011,1
"914","BRB",2012,1
"915","BRN",1975,0
"916","BRN",1976,0
"917","BRN",1977,0
"918","BRN",1978,0
"919","BRN",1979,0
"920","BRN",1980,0
"921","BRN",1981,0
"922","BRN",1982,0
"923","BRN",1983,0
"924","BRN",1984,0
"925","BRN",1985,0
"926","BRN",1986,0
"927","BRN",1987,0
"928","BRN",1988,0
"929","BRN",1989,0
"930","BRN",1990,0
"931","BRN",1991,0
"932","BRN",1992,0
"933","BRN",1993,0
"934","BRN",1994,0
"935","BRN",1995,0
"936","BRN",1996,0
"937","BRN",1997,0
"938","BRN",1998,0
"939","BRN",1999,0
"940","BRN",2000,0
"941","BRN",2001,0
"942","BRN",2002,0
"943","BRN",2003,0
"944","BRN",2004,0
"945","BRN",2005,0
"946","BRN",2006,0
"947","BRN",2007,0
"948","BRN",2008,0
"949","BRN",2009,0
"950","BRN",2010,0
"951","BRN",2011,0
"952","BRN",2012,0
"953","BTN",1975,0
"954","BTN",1976,0
"955","BTN",1977,0
"956","BTN",1978,0
"957","BTN",1979,0
"958","BTN",1980,0
"959","BTN",1981,0
"960","BTN",1982,0
"961","BTN",1983,0
"962","BTN",1984,0
"963","BTN",1985,0
"964","BTN",1986,0
"965","BTN",1987,0
"966","BTN",1988,0
"967","BTN",1989,0
"968","BTN",1990,0
"969","BTN",1991,0
"970","BTN",1992,0
"971","BTN",1993,0
"972","BTN",1994,0
"973","BTN",1995,0
"974","BTN",1996,0
"975","BTN",1997,0
"976","BTN",1998,0
"977","BTN",1999,0
"978","BTN",2000,0
"979","BTN",2001,0
"980","BTN",2002,0
"981","BTN",2003,0
"982","BTN",2004,0
"983","BTN",2005,0
"984","BTN",2006,0
"985","BTN",2007,0
"986","BTN",2008,0
"987","BTN",2009,0
"988","BTN",2010,0
"989","BTN",2011,0
"990","BTN",2012,0
"991","BWA",1975,1
"992","BWA",1976,1
"993","BWA",1977,1
"994","BWA",1978,1
"995","BWA",1979,1
