"","location","time","gini_net","gini_market","rel_red","abs_red"
"2375","MLI",1993,43.0352704238892,45.9862211227417,0.0641703237797288,2.95095069885254
"2376","MLI",1994,44.5613407897949,47.8088404846191,0.0679267612831772,3.24749969482422
"2377","MLI",1995,43.8932541275024,46.9963722991943,0.0660288873348866,3.10311817169189
"2378","MLI",1996,43.225167427063,46.1839036560059,0.0640642300612048,2.95873622894288
"2379","MLI",1997,42.5570807647705,45.3714354705811,0.0620292189704991,2.81435470581054
"2380","MLI",1998,41.8889942932129,44.5589669036865,0.0599199845957995,2.66997261047364
"2381","MLI",1999,41.2209076309204,43.7464987182617,0.0577324165667919,2.52559108734131
"2382","MLI",2000,40.552820930481,42.9340300750732,0.0554620458510085,2.38120914459229
"2383","MLI",2001,39.8847342681885,42.1215618896484,0.0531040996846244,2.23682762145997
"2384","MLI",2002,39.8731870269775,41.9469511032105,0.0494377784723952,2.07376407623291
"2385","MLI",2003,39.8616397094727,41.7723405075073,0.0457408125764769,1.91070079803467
"2386","MLI",2004,39.8500921630859,41.5977294158936,0.042012804000304,1.74763725280761
"2387","MLI",2005,39.8385448455811,41.4231188201904,0.0382533720236687,1.58457397460938
"2388","MLI",2006,39.8269976043701,41.2485080337524,0.0344621053498261,1.42151042938232
"2389","MLI",2007,38.2444171905518,39.8115738677979,0.0393643487306015,1.5671566772461
"2390","MLI",2008,36.6618367385864,38.3746402740478,0.0446337352801133,1.71280353546143
"2391","MLI",2009,35.0792564582825,36.937706489563,0.0503130867588013,1.85845003128052
"2392","MLI",2010,33.4966760444641,35.5007722854614,0.0564521871491243,2.00409624099731
"2393","MLT",2000,29.6200115203857,48.5261508178711,0.389607231953016,18.9061392974853
"2394","MLT",2001,29.0806222724915,47.6662500762939,0.389911683299076,18.5856278038025
"2395","MLT",2002,28.5412330055237,46.8063491821289,0.390227319493207,18.2651161766052
"2396","MLT",2003,28.0018437957764,45.9464485168457,0.390554771920841,17.9446047210693
"2397","MLT",2004,27.4624545288086,45.0865476226807,0.39089471301649,17.6240930938721
"2398","MLT",2005,26.9230652809143,44.2266468811035,0.391247874764442,17.3035816001892
"2399","MLT",2006,27.044767036438,44.2205978775024,0.388412451786474,17.1758308410645
"2400","MLT",2007,26.84037109375,44.3249908828735,0.394464148573109,17.4846197891235
"2401","MLT",2008,27.3323203659058,44.6983671569824,0.388516357433962,17.3660467910767
"2402","MLT",2009,27.0713767623901,44.5861949157715,0.392830520444027,17.5148181533813
"2403","MLT",2010,27.3486593437195,45.3815078353882,0.3973611577006,18.0328484916687
"2404","MLT",2011,27.1535775375366,44.8336413955688,0.394348157046633,17.6800638580322
"2405","MLT",2012,27.271520652771,44.8988137054443,0.392600418539252,17.6272930526733
"2406","MLT",2013,27.1952526283264,44.7380236816406,0.392122172810985,17.5427710533142
"2407","MRT",1987,41.7834532928467,45.2839657974243,0.0773013679993712,3.50051250457764
"2408","MRT",1988,41.2625563812256,44.7625574493408,0.0781903731053859,3.50000106811523
"2409","MRT",1989,41.6912616729736,45.6744553375244,0.0872083451267418,3.98319366455078
"2410","MRT",1990,42.1199666595459,46.5863531494141,0.095873280218852,4.46638648986817
"2411","MRT",1991,42.5486724472046,47.4982510375977,0.104205491407993,4.94957859039307
"2412","MRT",1992,42.9773774337769,48.4101488494873,0.112223811428499,5.43277141571045
"2413","MRT",1993,43.4060827255249,49.3220467376709,0.119945630878038,5.91596401214599
"2414","MRT",1994,40.3778324890137,45.3644102859497,0.109922685327632,4.98657779693604
"2415","MRT",1995,37.3495827865601,41.4067738723755,0.097983752569581,4.05719108581543
"2416","MRT",1996,33.3511642456055,37.0303971290588,0.0993571003473298,3.67923288345337
"2417","MRT",1997,34.0154836463928,37.5282761383057,0.0936038862794255,3.51279249191284
"2418","MRT",1998,34.6798029518127,38.0261553955078,0.0880013351044788,3.34635244369507
"2419","MRT",1999,35.3441227912903,38.5240343093872,0.0825435750720965,3.17991151809692
"2420","MRT",2000,36.0084421730041,39.0219133377075,0.0772251001283272,3.01347116470337
"2421","MRT",2001,36.6929719924927,39.794052734375,0.0779282462779556,3.10108074188233
"2422","MRT",2002,37.3775020217896,40.5661922454834,0.0786046224007843,3.18869022369385
"2423","MRT",2003,38.0620320129395,41.3383319091797,0.0792557354137623,3.27629989624023
"2424","MRT",2004,38.7465618133545,42.1104713058472,0.0798829694415126,3.36390949249268
"2425","MRT",2005,38.690506477356,42.2047103881836,0.0832656800273065,3.51420391082763
"2426","MRT",2006,38.6344511795044,42.2989492416382,0.0866333118867769,3.66449806213379
"2427","MRT",2007,38.5783959960937,42.3931880950928,0.0899859687467244,3.81479209899903
"2428","MRT",2008,38.5223406600952,42.4874271774292,0.0933237614218347,3.96508651733398
"2429","MUS",1972,41.5843711471558,NA,NA,NA
"2430","MUS",1980,37.9539027786255,41.0925100708008,0.0763790599982234,3.13860729217529
"2431","MUS",1981,38.7134386444092,41.0536877822876,0.0570046021270738,2.34024913787842
"2432","MUS",1982,38.4412328147888,41.0148657608032,0.0627487838439778,2.57363294601441
