"","LOCATION","TIME","GGEXP"
"293","KOR",1977,22.0536384399821
"294","KOR",1978,20.5278322829705
"295","KOR",1979,21.2487080564513
"296","KOR",1980,23.0078563411897
"297","KOR",1981,25.6236314978509
"298","KOR",1982,23.8482832852022
"299","KOR",1983,22.8906578658909
"300","KOR",1984,21.1637955394345
"301","KOR",1985,21.5299015584666
"302","KOR",1986,20.45518370938
"303","KOR",1987,19.420339769843
"304","KOR",1988,19.6146547523693
"305","KOR",1989,20.7976491884685
"306","KOR",1990,21.4028666906409
"307","KOR",1991,22.2751271364534
"308","KOR",1992,23.1402648102189
"309","KOR",1993,22.8237351313575
"310","KOR",1994,21.5876774532296
"311","KOR",1995,21.9700037605458
"312","KOR",1996,22.4953485549344
"313","KOR",1997,23.2626330944395
"314","KOR",1998,26.3657992117096
"315","KOR",1999,25.6757122194009
"316","KOR",2000,24.7122804929465
"317","KOR",2001,26.4091498999731
"318","KOR",2002,26.0712374706161
"319","KOR",2003,32.5701710153946
"320","KOR",2004,29.6279330084674
"321","KOR",2005,29.4838873738812
"322","KOR",2006,30.1113311814881
"323","KOR",2007,29.6746882697642
"324","KOR",2008,32.005106056883
"325","KOR",2009,34.8844298875114
"326","KOR",2010,31.0014715784615
"327","KOR",2011,32.3464880192634
"328","KOR",2012,32.7278454560495
"329","KOR",2013,31.7599678868462
"330","LUX",1995,39.0443351083896
"331","LUX",1996,40.1531918518369
"332","LUX",1997,39.4823488690641
"333","LUX",1998,39.8932349254585
"334","LUX",1999,38.0580032439394
"335","LUX",2000,36.8692889900348
"336","LUX",2001,37.441138839652
"337","LUX",2002,40.980389781853
"338","LUX",2003,42.6533680098001
"339","LUX",2004,42.9865331429295
"340","LUX",2005,43.0445457144299
"341","LUX",2006,39.7076263196176
"342","LUX",2007,37.6602359238538
"343","LUX",2008,39.6392579567248
"344","LUX",2009,45.2778467086869
"345","LUX",2010,44.1996179681471
"346","LUX",2011,42.906417473222
"347","LUX",2012,44.0831594915328
"348","LUX",2013,43.0620892071739
"349","NLD",1995,53.5272222068537
"350","NLD",1996,46.9290013021903
"351","NLD",1997,45.3538871276657
"352","NLD",1998,44.1113237352786
"353","NLD",1999,43.4714274005756
"354","NLD",2000,41.7715444995213
"355","NLD",2001,43.1398627217346
"356","NLD",2002,43.9129546755214
"357","NLD",2003,44.7426436484425
"358","NLD",2004,43.6419125127162
"359","NLD",2005,42.3167506401104
"360","NLD",2006,43.0408900368086
"361","NLD",2007,42.4525502217584
"362","NLD",2008,43.5655693461605
"363","NLD",2009,48.1808465848366
"364","NLD",2010,48.2092185104954
"365","NLD",2011,47.0143670607485
"366","NLD",2012,47.1252270740463
"367","NLD",2013,46.2141453499002
"368","NOR",2002,46.7065680199926
"369","NOR",2003,47.8695219166554
"370","NOR",2004,44.9782012266124
"371","NOR",2005,42.0638208655657
"372","NOR",2006,40.80838274699
"373","NOR",2007,41.4443237280843
"374","NOR",2008,40.246413191166
"375","NOR",2009,46.0876207660376
"376","NOR",2010,45.0070248551305
"377","NOR",2011,43.8137474825151
"378","NOR",2012,42.9330421339751
"379","NOR",2013,44.0390237099115
"380","PRT",1995,42.6239469022653
"381","PRT",1996,43.1492585089748
"382","PRT",1997,42.4483152337721
