"","location","TIME","gdpv_annpct_quarterly"
"273","AUS",2006,0.246941
"274","AUS",2006.25,0.137269
"275","AUS",2006.5,1.220272
"276","AUS",2006.75,1.478891
"277","AUS",2007,1.476839
"278","AUS",2007.25,0.796282
"279","AUS",2007.5,0.936848
"280","AUS",2007.75,0.497278
"281","AUS",2008,1.171409
"282","AUS",2008.25,0.259782
"283","AUS",2008.5,0.776749
"284","AUS",2008.75,-0.747493
"285","AUS",2009,1.137498
"286","AUS",2009.25,0.510553
"287","AUS",2009.5,0.336552
"288","AUS",2009.75,0.701494
"289","AUS",2010,0.484694
"290","AUS",2010.25,0.544894
"291","AUS",2010.5,0.616134
"292","AUS",2010.75,1.0121
"293","AUS",2011,-0.21104
"294","AUS",2011.25,1.060181
"295","AUS",2011.5,1.229209
"296","AUS",2011.75,1.002987
"297","AUS",2012,1.078463
"298","AUS",2012.25,0.488978
"299","AUS",2012.5,0.616567
"300","AUS",2012.75,0.475283
"301","AUS",2013,0.224983
"302","AUS",2013.25,0.722312
"303","AUS",2013.5,0.55563
"304","AUS",2013.75,0.76194
"305","AUS",2014,0.924696
"306","AUS",2014.25,0.45196
"307","AUS",2014.5,0.362691
"308","AUS",2014.75,0.407456
"309","AUS",2015,0.8947
"310","AUS",2015.25,0.257155
"311","AUS",2015.5,0.941136
"312","AUT",1960.25,2.339305
"313","AUT",1960.5,1.25508
"314","AUT",1960.75,1.386295
"315","AUT",1961,2.805842
"316","AUT",1961.25,-0.349959
"317","AUT",1961.5,1.256452
"318","AUT",1961.75,0.227988
"319","AUT",1962,1.46331
"320","AUT",1962.25,-0.021812
"321","AUT",1962.5,0.839158
"322","AUT",1962.75,0.090983
"323","AUT",1963,0.367611
"324","AUT",1963.25,2.915281
"325","AUT",1963.5,1.087485
"326","AUT",1963.75,2.038743
"327","AUT",1964,1.006058
"328","AUT",1964.25,1.447899
"329","AUT",1964.5,0.900528
"330","AUT",1964.75,2.854332
"331","AUT",1965,-1.031716
"332","AUT",1965.25,0.528129
"333","AUT",1965.5,2.021288
"334","AUT",1965.75,0.449598
"335","AUT",1966,3.196666
"336","AUT",1966.25,-0.12344
"337","AUT",1966.5,0.27664
"338","AUT",1966.75,0.889976
"339","AUT",1967,0.876897
"340","AUT",1967.25,0.856198
"341","AUT",1967.5,-0.65889
"342","AUT",1967.75,1.610119
"343","AUT",1968,1.264305
"344","AUT",1968.25,1.1827
"345","AUT",1968.5,1.811363
"346","AUT",1968.75,0.895835
"347","AUT",1969,0.973635
"348","AUT",1969.25,1.892345
"349","AUT",1969.5,2.406026
"350","AUT",1969.75,1.017809
"351","AUT",1970,1.88764
"352","AUT",1970.25,2.591039
"353","AUT",1970.5,1.93573
"354","AUT",1970.75,1.242164
"355","AUT",1971,0.171116
"356","AUT",1971.25,2.154849
"357","AUT",1971.5,1.603989
"358","AUT",1971.75,-0.364435
"359","AUT",1972,3.257068
"360","AUT",1972.25,-0.037419
"361","AUT",1972.5,1.352707
"362","AUT",1972.75,4.511312
"363","AUT",1973,-1.417131
"364","AUT",1973.25,2.047168
"365","AUT",1973.5,0.39801
"366","AUT",1973.75,2.114917
"367","AUT",1974,2.016685
"368","AUT",1974.25,-0.421366
"369","AUT",1974.5,0.466238
"370","AUT",1974.75,-1.224199
"371","AUT",1975,0.139126
"372","AUT",1975.25,-1.030184
"373","AUT",1975.5,0.960339
"374","AUT",1975.75,2.376262
"375","AUT",1976,-0.363839
"376","AUT",1976.25,1.84598
"377","AUT",1976.5,2.29554
"378","AUT",1976.75,1.361667
"379","AUT",1977,0.18659
"380","AUT",1977.25,1.426333
"381","AUT",1977.5,0.315147
"382","AUT",1977.75,2.305532
"383","AUT",1978,-4.375787
"384","AUT",1978.25,1.884673
"385","AUT",1978.5,0.657607
"386","AUT",1978.75,0.665147
"387","AUT",1979,2.316319
"388","AUT",1979.25,1.289
"389","AUT",1979.5,0.879436
"390","AUT",1979.75,1.328876
"391","AUT",1980,1.06976
"392","AUT",1980.25,-1.049
"393","AUT",1980.5,0.521108
"394","AUT",1980.75,0.055055
"395","AUT",1981,-0.692629
"396","AUT",1981.25,1.006344
"397","AUT",1981.5,-0.069449
"398","AUT",1981.75,-0.631448
"399","AUT",1982,2.028279
"400","AUT",1982.25,0.293478
"401","AUT",1982.5,-0.067677
"402","AUT",1982.75,-0.174901
"403","AUT",1983,1.213791
"404","AUT",1983.25,1.308602
"405","AUT",1983.5,0.838428
"406","AUT",1983.75,1.013589
"407","AUT",1984,-1.317604
"408","AUT",1984.25,-0.705958
"409","AUT",1984.5,0.919922
"410","AUT",1984.75,0.950289
"411","AUT",1985,0.48032
"412","AUT",1985.25,0.155684
"413","AUT",1985.5,1.484461
"414","AUT",1985.75,-0.416359
"415","AUT",1986,0.894396
"416","AUT",1986.25,1.209922
"417","AUT",1986.5,0.081472
"418","AUT",1986.75,0.074006
"419","AUT",1987,-0.852827
"420","AUT",1987.25,1.764855
"421","AUT",1987.5,1.21496
"422","AUT",1987.75,0.810185
"423","AUT",1988,-1.010978
"424","AUT",1988.25,1.835161
"425","AUT",1988.5,1.661264
"426","AUT",1988.75,1.1833
"427","AUT",1989,0.82314
"428","AUT",1989.25,0.475649
"429","AUT",1989.5,0.829098
"430","AUT",1989.75,1.300396
"431","AUT",1990,1.232355
"432","AUT",1990.25,1.078143
"433","AUT",1990.5,0.826363
"434","AUT",1990.75,0.683751
"435","AUT",1991,0.692705
"436","AUT",1991.25,0.912164
"437","AUT",1991.5,1.109097
"438","AUT",1991.75,0.611831
"439","AUT",1992,0.383704
"440","AUT",1992.25,0.47917
"441","AUT",1992.5,0.079119
"442","AUT",1992.75,-0.302467
"443","AUT",1993,-0.239481
"444","AUT",1993.25,0.570549
"445","AUT",1993.5,1.019557
"446","AUT",1993.75,0.702701
"447","AUT",1994,0.321516
"448","AUT",1994.25,0.172232
"449","AUT",1994.5,0.906741
"450","AUT",1994.75,1.350074
"451","AUT",1995,0.83618
"452","AUT",1995.25,0.424044
"453","AUT",1995.5,0.226813
"454","AUT",1995.75,0.344772
"455","AUT",1996,0.45518
"456","AUT",1996.25,0.943357
"457","AUT",1996.5,0.49036
"458","AUT",1996.75,0.531126
"459","AUT",1997,0.237887
"460","AUT",1997.25,0.22655
"461","AUT",1997.5,1.589623
"462","AUT",1997.75,1.39413
"463","AUT",1998,0.611524
"464","AUT",1998.25,1.139563
"465","AUT",1998.5,0.08014
"466","AUT",1998.75,0.399233
"467","AUT",1999,1.119025
"468","AUT",1999.25,0.962358
"469","AUT",1999.5,1.259985
"470","AUT",1999.75,1.112679
"471","AUT",2000,0.376971
"472","AUT",2000.25,1.270725
"473","AUT",2000.5,0.519486
"474","AUT",2000.75,1.515424
"475","AUT",2001,-0.149181
"476","AUT",2001.25,-0.412771
"477","AUT",2001.5,-0.193091
"478","AUT",2001.75,0.493088
"479","AUT",2002,0.966686
"480","AUT",2002.25,0.378676
"481","AUT",2002.5,0.068582
"482","AUT",2002.75,0.070767
"483","AUT",2003,0.452996
"484","AUT",2003.25,-0.052902
"485","AUT",2003.5,0.349963
"486","AUT",2003.75,0.3078
"487","AUT",2004,1.208034
"488","AUT",2004.25,0.663297
"489","AUT",2004.5,0.598984
"490","AUT",2004.75,-0.05101
"491","AUT",2005,0.58977
"492","AUT",2005.25,1.135988
"493","AUT",2005.5,0.49303
"494","AUT",2005.75,0.955663
"495","AUT",2006,0.939905
"496","AUT",2006.25,0.852516
"497","AUT",2006.5,0.796083
"498","AUT",2006.75,1.513058
"499","AUT",2007,0.715336
"500","AUT",2007.25,1.428856
"501","AUT",2007.5,-0.389289
"502","AUT",2007.75,0.499108
"503","AUT",2008,1.660992
"504","AUT",2008.25,-0.217202
"505","AUT",2008.5,-0.701033
"506","AUT",2008.75,-1.988857
"507","AUT",2009,-1.746687
"508","AUT",2009.25,-0.797527
"509","AUT",2009.5,0.613317
"510","AUT",2009.75,1.41452
"511","AUT",2010,-1.472008
"512","AUT",2010.25,2.006927
"513","AUT",2010.5,0.923598
"514","AUT",2010.75,0.504
"515","AUT",2011,1.83238
"516","AUT",2011.25,-0.277735
"517","AUT",2011.5,0.139018
"518","AUT",2011.75,-0.225417
"519","AUT",2012,1.125872
"520","AUT",2012.25,-0.401298
"521","AUT",2012.5,0.304575
"522","AUT",2012.75,-0.248564
"523","AUT",2013,-0.111867
"524","AUT",2013.25,0.475957
"525","AUT",2013.5,0.159295
"526","AUT",2013.75,0.311478
"527","AUT",2014,0.292386
"528","AUT",2014.25,-0.313478
"529","AUT",2014.5,0.078558
"530","AUT",2014.75,-0.220397
"531","AUT",2015,0.712307
"532","AUT",2015.25,0.324793
"533","AUT",2015.5,0.078015
"534","BEL",1960.25,1.231745
"535","BEL",1960.5,1.223443
"536","BEL",1960.75,1.21526
"537","BEL",1961,1.193447
"538","BEL",1961.25,1.167163
"539","BEL",1961.5,1.275744
"540","BEL",1961.75,1.381074
"541","BEL",1962,1.346942
"542","BEL",1962.25,1.322268
"543","BEL",1962.5,1.116325
"544","BEL",1962.75,0.896895
"545","BEL",1963,0.881896
"546","BEL",1963.25,0.866731
"547","BEL",1963.5,1.449747
"548","BEL",1963.75,2.0445
"549","BEL",1964,1.987689
"550","BEL",1964.25,1.943286
"551","BEL",1964.5,1.344338
"552","BEL",1964.75,0.747162
"553","BEL",1965,0.733465
"554","BEL",1965.25,0.724151
"555","BEL",1965.5,0.736433
"556","BEL",1965.75,0.745097
"557","BEL",1966,0.732866
"558","BEL",1966.25,0.722237
"559","BEL",1966.5,0.867684
"560","BEL",1966.75,1.01504
"561","BEL",1967,0.99532
"562","BEL",1967.25,0.978753
"563","BEL",1967.5,0.954276
"564","BEL",1967.75,0.923408
"565","BEL",1968,0.908429
"566","BEL",1968.25,0.89686
"567","BEL",1968.5,1.331804
"568","BEL",1968.75,1.770449
"569","BEL",1969,1.730254
"570","BEL",1969.25,1.682229
"571","BEL",1969.5,1.672652
"572","BEL",1969.75,1.654096
"573","BEL",1970,1.606117
"574","BEL",1970.25,1.575349
"575","BEL",1970.5,1.176552
"576","BEL",1970.75,0.75863
"577","BEL",1971,0.742862
"578","BEL",1971.25,0.735078
"579","BEL",1971.5,1.041139
"580","BEL",1971.75,1.354626
"581","BEL",1972,1.32811
"582","BEL",1972.25,1.304745
"583","BEL",1972.5,1.448761
"584","BEL",1972.75,1.593274
"585","BEL",1973,1.557743
"586","BEL",1973.25,1.519071
"587","BEL",1973.5,1.426949
"588","BEL",1973.75,1.324668
"589","BEL",1974,1.282729
"590","BEL",1974.25,1.269725
"591","BEL",1974.5,0.16585
"592","BEL",1974.75,-1.000723
"593","BEL",1975,-1.000149
"594","BEL",1975.25,-1.004707
"595","BEL",1975.5,0.507866
"596","BEL",1975.75,2.127561
"597","BEL",1976,2.074299
"598","BEL",1976.25,2.019118
"599","BEL",1976.5,0.873671
"600","BEL",1976.75,-0.278587
"601","BEL",1977,-0.278875
"602","BEL",1977.25,-0.275711
"603","BEL",1977.5,0.31293
"604","BEL",1977.75,0.940359
"605","BEL",1978,0.925984
"606","BEL",1978.25,0.908158
"607","BEL",1978.5,0.644273
"608","BEL",1978.75,0.36356
"609","BEL",1979,0.36028
"610","BEL",1979.25,0.354987
"611","BEL",1979.5,0.953922
"612","BEL",1979.75,1.576812
"613","BEL",1980,3.762455
"614","BEL",1980.25,-0.666235
"615","BEL",1980.5,-0.979381
"616","BEL",1980.75,-0.204555
"617","BEL",1981,0.022401
"618","BEL",1981.25,1.457926
"619","BEL",1981.5,-0.428832
"620","BEL",1981.75,0.267781
"621","BEL",1982,0.133524
"622","BEL",1982.25,0.2694
"623","BEL",1982.5,0.112673
"624","BEL",1982.75,-0.633301
"625","BEL",1983,0.018049
"626","BEL",1983.25,0.047185
"627","BEL",1983.5,0.83464
"628","BEL",1983.75,1.1173
"629","BEL",1984,0.404556
"630","BEL",1984.25,0.15287
"631","BEL",1984.5,0.286768
"632","BEL",1984.75,0.644337
"633","BEL",1985,0.427656
"634","BEL",1985.25,0.365212
"635","BEL",1985.5,0.67715
"636","BEL",1985.75,0.517968
"637","BEL",1986,0.54789
"638","BEL",1986.25,0.203576
"639","BEL",1986.5,1.230937
"640","BEL",1986.75,-1.156201
"641","BEL",1987,0.706358
"642","BEL",1987.25,1.111189
"643","BEL",1987.5,1.397513
"644","BEL",1987.75,1.290633
"645","BEL",1988,0.99036
"646","BEL",1988.25,0.93208
"647","BEL",1988.5,1.228906
"648","BEL",1988.75,0.979885
"649","BEL",1989,0.76019
"650","BEL",1989.25,0.961124
"651","BEL",1989.5,0.371448
"652","BEL",1989.75,1.298638
"653","BEL",1990,1.563246
"654","BEL",1990.25,-0.353728
"655","BEL",1990.5,0.132865
"656","BEL",1990.75,1.213354
"657","BEL",1991,-0.431525
"658","BEL",1991.25,1.167533
"659","BEL",1991.5,0.674732
"660","BEL",1991.75,0.505904
"661","BEL",1992,1.401939
"662","BEL",1992.25,-1.215734
"663","BEL",1992.5,0.308941
"664","BEL",1992.75,-1.232574
"665","BEL",1993,-0.759719
"666","BEL",1993.25,1.010258
"667","BEL",1993.5,0.316448
"668","BEL",1993.75,0.952397
"669","BEL",1994,0.703595
"670","BEL",1994.25,1.149796
"671","BEL",1994.5,0.279731
"672","BEL",1994.75,1.682112
"673","BEL",1995,-0.14605
"674","BEL",1995.25,0.427211
"675","BEL",1995.5,0.695843
