"","TIME","location","gini_toth"
"316",1985,"DEU-E",NA
"317",1986,"DEU-E",NA
"318",1987,"DEU-E",NA
"319",1988,"DEU-E",NA
"320",1989,"DEU-E",NA
"321",1990,"DEU-E",NA
"322",1991,"DEU-E",0.202
"323",1992,"DEU-E",0.205
"324",1993,"DEU-E",0.211
"325",1994,"DEU-E",0.214
"326",1995,"DEU-E",0.205
"327",1996,"DEU-E",0.213
"328",1997,"DEU-E",0.206
"329",1998,"DEU-E",0.207
"330",1999,"DEU-E",0.212
"331",2000,"DEU-E",0.213
"332",2001,"DEU-E",0.223
"333",2002,"DEU-E",0.227
"334",2003,"DEU-E",0.229
"335",2004,"DEU-E",0.238
"336",2005,"DEU-E",0.242
"337",2006,"DEU-E",0.238
"338",2007,"DEU-E",0.235
"339",2008,"DEU-E",0.242
"340",2009,"DEU-E",0.247
"341",2010,"DEU-E",NA
"342",1980,"DEU-W",NA
"343",1981,"DEU-W",NA
"344",1982,"DEU-W",NA
"345",1983,"DEU-W",0.248
"346",1984,"DEU-W",0.252
"347",1985,"DEU-W",0.242
"348",1986,"DEU-W",0.239
"349",1987,"DEU-W",0.238
"350",1988,"DEU-W",0.242
"351",1989,"DEU-W",0.245
"352",1990,"DEU-W",0.246
"353",1991,"DEU-W",0.244
"354",1992,"DEU-W",0.253
"355",1993,"DEU-W",0.254
"356",1994,"DEU-W",0.266
"357",1995,"DEU-W",0.263
"358",1996,"DEU-W",0.252
"359",1997,"DEU-W",0.256
"360",1998,"DEU-W",0.253
"361",1999,"DEU-W",0.251
"362",2000,"DEU-W",0.262
"363",2001,"DEU-W",0.267
"364",2002,"DEU-W",0.278
"365",2003,"DEU-W",0.277
"366",2004,"DEU-W",0.28
"367",2005,"DEU-W",0.293
"368",2006,"DEU-W",0.289
"369",2007,"DEU-W",0.294
"370",2008,"DEU-W",0.293
"371",2009,"DEU-W",0.289
"372",2010,"DEU-W",NA
"373",1980,"GRC",NA
"374",1981,"GRC",NA
"375",1982,"GRC",0.309
"376",1983,"GRC",NA
"377",1984,"GRC",NA
"378",1985,"GRC",NA
"379",1986,"GRC",NA
"380",1987,"GRC",NA
"381",1988,"GRC",0.314
"382",1989,"GRC",NA
"383",1990,"GRC",NA
"384",1991,"GRC",NA
"385",1992,"GRC",NA
"386",1993,"GRC",NA
"387",1994,"GRC",0.31
"388",1995,"GRC",0.349
"389",1996,"GRC",NA
"390",1997,"GRC",NA
"391",1998,"GRC",NA
"392",1999,"GRC",0.322
"393",2000,"GRC",0.333
"394",2001,"GRC",NA
"395",2002,"GRC",NA
"396",2003,"GRC",NA
"397",2004,"GRC",0.293
"398",2005,"GRC",NA
"399",2006,"GRC",NA
"400",2007,"GRC",0.318
"401",2008,"GRC",0.289
"402",2009,"GRC",NA
"403",2010,"GRC",0.334
"404",1980,"HUN",NA
"405",1981,"HUN",NA
"406",1982,"HUN",0.209
"407",1983,"HUN",NA
"408",1984,"HUN",NA
"409",1985,"HUN",NA
"410",1986,"HUN",NA
"411",1987,"HUN",0.244
"412",1988,"HUN",NA
"413",1989,"HUN",NA
"414",1990,"HUN",NA
"415",1991,"HUN",NA
"416",1992,"HUN",0.266
"417",1993,"HUN",NA
"418",1994,"HUN",NA
"419",1995,"HUN",0.304
"420",1996,"HUN",0.3
"421",1997,"HUN",NA
"422",1998,"HUN",NA
"423",1999,"HUN",0.302
"424",2000,"HUN",0.306
"425",2001,"HUN",0.304
"426",2002,"HUN",NA
"427",2003,"HUN",0.316
"428",2004,"HUN",0.3
"429",2005,"HUN",0.308
"430",2006,"HUN",0.284
"431",2007,"HUN",0.288
"432",2008,"HUN",0.275
"433",2009,"HUN",0.292
